Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,12287,ECIV,101,1,COL,3,30 - Columbia Full Term,Introduction to Civil Engineering,MW,02:20 pm-04:40 pm,129,115,14,Juan M. Caicedo (P),08/24-12/08,CLHIPP 002, ,
NR,12291,ECIV,111,1,COL,1,30 - Columbia Full Term,Introduction to Engineering Graphics and Visualization,MW,10:50 am-12:50 pm,33,31,2,Hassan Ismail (P),08/24-12/08,300MN B205, ,
NR,10025,ECIV,200,1,COL,3,30 - Columbia Full Term,Statics,MWF,09:40 am-10:30 am,60,40,20,Juan M. Caicedo (P),08/24-12/08,300MN B103, ,
NR,25118,ECIV,201,1,COL,3,30 - Columbia Full Term,Computational Methods for Civil Engineering,TR,08:30 am-09:45 am,35,34,1,Elena Bastianon (P),08/24-12/08,300MN B111, ,
NR,18044,ECIV,201,2,COL,3,30 - Columbia Full Term,Computational Methods for Civil Engineering,MW,05:30 pm-06:45 pm,22,13,9,Sanaz Borhani (P),08/24-12/08,300MN B101, ,
NR,12294,ECIV,210,1,COL,3,30 - Columbia Full Term,Dynamics,MW,08:05 am-09:20 am,55,51,4,Joseph V. Flora (P),08/24-12/08,300MN B110, ,
NR,12296,ECIV,220,1,COL,3,30 - Columbia Full Term,Mechanics of Solids,TR,10:05 am-11:20 am,55,51,4,Emad Gheibi (P), Samaneh Shiri,08/24-12/08,300MN B103, 
NR,12297,ECIV,303,1,COL,3,30 - Columbia Full Term,Civil Engineering Materials,TR,11:40 am-12:55 pm,60,57,3,Fabio Matta (P),08/24-12/08,300MN B103, ,
C,12300,ECIV,303L,1,COL,1,30 - Columbia Full Term,Civil Engineering Materials Laboratory,R,01:15 pm-04:15 pm,24,24,0,Fabio Matta (P),08/24-12/08,300MN B111, ,
C,23479,ECIV,303L,2,COL,1,30 - Columbia Full Term,Civil Engineering Materials Laboratory,R,01:15 pm-04:15 pm,10,12,-2,Sina Khodaie (P),08/24-12/08,300MN B205, ,
NR,12302,ECIV,320,1,COL,3,30 - Columbia Full Term,Structural Analysis I,TR,10:05 am-11:20 am,37,33,4,Robert Louis Mullen (P),08/24-12/08,300MN B101, ,
NR,12305,ECIV,327,1,COL,3,30 - Columbia Full Term,Reinforced Concrete Design,TR,01:15 pm-02:30 pm,39,38,1,Paul H. Ziehl (P),08/24-12/08,300MN B102, ,
C,12306,ECIV,340,1,COL,3,30 - Columbia Full Term,Introduction to Transportation Engineering,MW,02:20 pm-03:35 pm,57,57,0,Nathan Nhan Huynh (P), Samaneh Shiri,08/24-12/08,SWGN 2A14, 
C,25621,ECIV,340,H10,COL,3,30 - Columbia Full Term,HNRS: Introduction to Transportation Engineering,MW,02:20 pm-03:35 pm,3,3,0,Nathan Nhan Huynh (P), Samaneh Shiri,08/24-12/08,SWGN 2A14,SC Honors College
C,25120,ECIV,340L,1,COL,1,30 - Columbia Full Term,Transportation Engineering Laboratory,T,01:15 pm-04:15 pm,12,12,0,Md Majbah Uddin (P),08/24-12/08,300MN B111, ,
