Select,CRN,Subj,Crse,Sec,Cmp,Cred,Part of Term,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM/DD),Location,Attribute,
NR,21890,EMCH,101,1,COL,3,30 - Columbia Full Term,Introduction to Mechanical Engineering,TR,01:15 pm-02:30 pm,240,129,111,Walter Hamilton Peters (P),08/24-12/08,SWGN 1C01, ,
NR,10473,EMCH,111,1,COL,3,30 - Columbia Full Term,Introduction to Engineering Graphics and Visualization,MW,02:20 pm-03:35 pm,40,39,1,Andrew R Sabalowsky (P),08/24-12/08,300MN B202, ,
NR,11041,EMCH,111,2,COL,3,30 - Columbia Full Term,Introduction to Engineering Graphics and Visualization,MW,03:55 pm-05:10 pm,40,19,21,Andrew R Sabalowsky (P),08/24-12/08,300MN B202, ,
NR,18064,EMCH,111,3,COL,3,30 - Columbia Full Term,Introduction to Engineering Graphics and Visualization,TR,02:50 pm-04:05 pm,40,39,1,Nikolaos Vitzilaios (P),08/24-12/08,300MN B202, ,
NR,21705,EMCH,111,4,COL,3,30 - Columbia Full Term,Introduction to Engineering Graphics and Visualization,TR,04:25 pm-05:40 pm,40,31,9,Nikolaos Vitzilaios (P),08/24-12/08,300MN B202, ,
NR,24585,EMCH,200,1,COL,3,30 - Columbia Full Term,Statics,MWF,08:30 am-09:20 am,40,33,7,Xingjian Xue (P),08/24-12/08,300MN B103, ,
NR,11091,EMCH,200,2,COL,3,30 - Columbia Full Term,Statics,MWF,10:50 am-11:40 am,40,34,6,Sreehari Rajan kattil (P),08/24-12/08,300MN B103, ,
C,11093,EMCH,200,3,COL,3,30 - Columbia Full Term,Statics,MWF,02:20 pm-03:10 pm,40,40,0,Odell Lender Glenn (P),08/24-12/08,300MN B103, ,
NR,16860,EMCH,200,4,COL,3,30 - Columbia Full Term,Statics,MWF,04:40 pm-05:30 pm,40,36,4,Farzana Yasmeen (P),08/24-12/08,300MN B103, ,
NR,11094,EMCH,201,1,COL,3,30 - Columbia Full Term,Introduction to Applied Numerical Methods,MWF,10:50 am-11:40 am,77,74,3,Md. Riaz Uddin Ahmed (P),08/24-12/08,300MN B213, ,
C,11096,EMCH,201,2,COL,3,30 - Columbia Full Term,Introduction to Applied Numerical Methods,MWF,03:30 pm-04:20 pm,78,80,-2,Sourav Banerjee (P),08/24-12/08,300MN B213, ,
NR,21958,EMCH,220,1,COL,3,30 - Columbia Full Term,Mechanical Engineering Fundamentals for Non-Majors,MW,08:05 am-09:20 am,40,28,12,Stephen R McNeill (P),08/24-12/08,300MN B101, ,
NR,11103,EMCH,260,1,COL,3,30 - Columbia Full Term,Introduction to the Mechanics of Solids,MWF,12:00 pm-12:50 pm,45,40,5,Jingjing Bao (P),08/24-12/08,300MN B103, ,
NR,11105,EMCH,260,2,COL,3,30 - Columbia Full Term,Introduction to the Mechanics of Solids,TR,10:05 am-11:20 am,45,42,3,Prasun Kanti Majumdar (P),08/24-12/08,300MN B110, ,
NR,11107,EMCH,290,1,COL,3,30 - Columbia Full Term,Thermodynamic Fundamentals,MWF,09:40 am-10:30 am,45,29,16,Odell Lender Glenn (P),08/24-12/08,300MN B110, ,
NR,11109,EMCH,290,2,COL,3,30 - Columbia Full Term,Thermodynamic Fundamentals,MWF,10:50 am-11:40 am,45,33,12,Cyrus Khezr Riahi-Nezhad (P),08/24-12/08,SWGN 2A31, ,
NR,21888,EMCH,290,3,COL,3,30 - Columbia Full Term,Thermodynamic Fundamentals,MWF,01:10 pm-02:00 pm,45,18,27,Odell Lender Glenn (P),08/24-12/08,300MN B110, ,
C,11110,EMCH,310,1,COL,3,30 - Columbia Full Term,Dynamics,TR,08:30 am-09:45 am,70,72,-2,Walter Hamilton Peters (P),08/24-12/08,300MN B201, ,
NR,21889,EMCH,310,2,COL,3,30 - Columbia Full Term,Dynamics,TR,11:40 am-12:55 pm,70,61,9,Michael Johannes L Van Tooren (P),08/24-12/08,300MN B213, ,
NR,11112,EMCH,327,1,COL,3,30 - Columbia Full Term,Design of Mechanical Elements,MWF,10:50 am-11:40 am,150,123,27,Xingjian Xue (P),08/24-12/08,SWGN 1C01,GLD: Research,
NR,13082,EMCH,330,1,COL,3,30 - Columbia Full Term,Mechanical Vibrations,TR,01:15 pm-02:30 pm,78,74,4,Lingyu Yu (P),08/24-12/08,300MN B201, ,
NR,11114,EMCH,332,1,COL,3,30 - Columbia Full Term,Kinematics and Dynamics of Machines,MW,03:55 pm-05:10 pm,120,91,29,David N. Rocheleau (P),08/24-12/08,SWGN 1C01, ,
NR,11115,EMCH,354,1,COL,3,30 - Columbia Full Term,Heat Transfer,TR,11:40 am-12:55 pm,100,78,22,Mohammad Fah Ebna Alam (P), Jamil A. Khan,08/24-12/08,SWGN 1C01, 
NR,24922,EMCH,354,H01,COL,3,30 - Columbia Full Term,HNRS: Heat Transfer,TR,11:40 am-12:55 pm,12,10,2,Douglas S. Byrd (P),08/24-12/08,SWGN 2A24,SC Honors College,
NR,11118,EMCH,360,1,COL,3,30 - Columbia Full Term,Fluid Mechanics,MWF,12:00 pm-12:50 pm,160,139,21,Cyrus Khezr Riahi-Nezhad (P),08/24-12/08,SWGN 1C01, ,
C,11119,EMCH,361,1,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,08:30 am-09:20 am,12,12,0,Yuh Jin Chao (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,03:30 pm-05:30 pm, , , ,Yuh Jin Chao (P),08/24-12/08,300MN A018, ,
C,11122,EMCH,361,2,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,08:30 am-09:20 am,12,12,0,Yuh Jin Chao (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,05:31 pm-07:31 pm, , , ,Yuh Jin Chao (P),08/24-12/08,300MN A018, ,
NR,11125,EMCH,361,3,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,08:30 am-09:20 am,12,11,1,Yuh Jin Chao (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,02:50 pm-04:50 pm, , , ,Yuh Jin Chao (P),08/24-12/08,300MN A018, ,
NR,11127,EMCH,361,4,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,08:30 am-09:20 am,12,10,2,Yuh Jin Chao (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,04:51 pm-06:50 pm, , , ,Yuh Jin Chao (P),08/24-12/08,300MN A018, ,
C,11128,EMCH,361,5,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,08:30 am-09:20 am,12,12,0,Yuh Jin Chao (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,06:51 pm-08:50 pm, , , ,Yuh Jin Chao (P),08/24-12/08,300MN A018, ,
C,11129,EMCH,361,6,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,10:50 am-11:40 am,12,12,0,Douglas S. Byrd (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,W,03:30 pm-05:30 pm, , , ,Douglas S. Byrd (P),08/24-12/08,300MN A018, ,
C,15838,EMCH,361,7,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,10:50 am-11:40 am,12,12,0,Douglas S. Byrd (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,W,05:51 pm-07:30 pm, , , ,Douglas S. Byrd (P),08/24-12/08,300MN A018, ,
C,18545,EMCH,361,8,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,10:50 am-11:40 am,12,12,0,Douglas S. Byrd (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,R,02:50 pm-04:50 pm, , , ,Douglas S. Byrd (P),08/24-12/08,300MN A018, ,
NR,18546,EMCH,361,9,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory I,MWF,10:50 am-11:40 am,12,11,1,Douglas S. Byrd (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,F,04:50 pm-06:50 pm, , , ,Douglas S. Byrd (P),08/24-12/08,300MN A018, ,
C,12934,EMCH,362,1,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,11,-1,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,M,03:30 pm-05:30 pm, , , ,Xinyu Huang (P),08/24-12/08,300MN A235, ,
NR,12943,EMCH,362,2,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,9,1,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,M,05:51 pm-07:30 pm, , , ,Xinyu Huang (P),08/24-12/08,300MN A235, ,
NR,12944,EMCH,362,3,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,7,3,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,M,07:31 pm-09:30 pm, , , ,Xinyu Huang (P),08/24-12/08,300MN A235, ,
C,12948,EMCH,362,4,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,10,0,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,T,02:50 pm-04:50 pm, , , ,Xinyu Huang (P),08/24-12/08,300MN A235, ,
NR,12950,EMCH,362,5,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,8,2,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,T,04:51 pm-06:50 pm, , , ,Xinyu Huang (P),08/24-12/08,GAMBRL 152, ,
NR,12953,EMCH,362,6,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,02:20 pm-03:10 pm,10,9,1,Xinyu Huang (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,T,06:51 pm-08:50 pm, , , ,Xinyu Huang (P),08/24-12/08,300MN A235, ,
C,12955,EMCH,362,7,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,03:30 pm-05:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,12956,EMCH,362,8,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,05:31 pm-07:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18548,EMCH,362,9,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,W,07:31 pm-09:30 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18549,EMCH,362,10,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,11,-1,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,02:50 pm-04:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18550,EMCH,362,11,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,04:51 pm-06:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,18551,EMCH,362,12,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory II,MWF,01:10 pm-02:00 pm,10,10,0,Subramani Sockalingam (P),08/24-12/08,300MN B213, ,
 , , , , , , , , ,R,06:51 pm-08:50 pm, , , ,Subramani Sockalingam (P),08/24-12/08,300MN A235, ,
C,11065,EMCH,363,1,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,03:30 pm-05:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
C,11071,EMCH,363,2,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,05:31 pm-07:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11074,EMCH,363,3,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,8,2,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,M,07:31 pm-09:30 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
C,11076,EMCH,363,4,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,10,0,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,02:50 pm-04:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11077,EMCH,363,5,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,7,3,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,04:51 pm-06:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11080,EMCH,363,6,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,02:20 pm-03:10 pm,10,5,5,Addis Asmelash Kidane (P),08/24-12/08,300MN B201, ,
 , , , , , , , , ,T,06:51 pm-08:50 pm, , , ,Addis Asmelash Kidane (P),08/24-12/08,300MN C004, ,
NR,11082,EMCH,363,7,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,5,5,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,W,03:30 pm-05:30 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
C,16862,EMCH,363,8,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,10,0,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
 , , , , , , , , ,W,05:31 pm-07:30 pm, , , ,Valmore J Loiselle (P),08/24-12/08,300MN C004, ,
NR,18552,EMCH,363,9,COL,3,30 - Columbia Full Term,Mechanical Engineering Laboratory III,MWF,12:00 pm-12:50 pm,10,8,2,Valmore J Loiselle (P),08/24-12/08,SWGN 2A14, ,
