Select ,CRN ,Subj ,Crse ,Sec ,Cmp ,Cred ,Part of Term ,Title ,Days ,Time ,Cap ,Act ,Rem ,Instructor ,Date (MM/DD) ,Location ,Attribute
SR ,11517,CSCE ,101,1,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,08:30 am-09:20 am ,24,22,2,Phani Krishna Penumarthi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,08:30 am-09:20 am ,  ,  ,  ,Bharat Joshi ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11519,CSCE ,101,2,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,08:30 am-09:20 am ,24,3,21,Phani Krishna Penumarthi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,09:40 am-10:30 am ,  ,  ,  ,Alaleh Torkjazi ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11522,CSCE ,101,3,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,08:30 am-09:20 am ,24,11,13,Phani Krishna Penumarthi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,08:30 am-09:20 am ,  ,  ,  ,Bharat Joshi ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11527,CSCE ,101,4,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,10:50 am-11:40 am ,24,15,9,Alaleh Torkjazi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,03:30 pm-04:20 pm ,  ,  ,  ,TBA ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
C ,11529,CSCE ,101,5,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,10:50 am-11:40 am ,24,24,0,Alaleh Torkjazi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,10:50 am-11:40 am ,  ,  ,  ,Alaleh Torkjazi (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11530,CSCE ,101,6,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,10:50 am-11:40 am ,24,23,1,Alaleh Torkjazi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,R ,11:40 am-12:30 pm ,  ,  ,  ,Alaleh Torkjazi (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11534,CSCE ,101,7,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,01:10 pm-02:00 pm ,24,11,13,Yang Mi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,12:00 pm-12:50 pm ,  ,  ,  ,Yang Mi (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11537,CSCE ,101,8,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,01:10 pm-02:00 pm ,24,22,2,Yang Mi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
  ,  ,  ,  ,  ,  ,  ,  ,  ,F ,01:10 pm-02:00 pm ,  ,  ,  ,Yang Mi (P) ,08/24-12/08 ,SMWALT 244 ,ARP Analytical Reasoning
SR ,11540,CSCE ,101,9,COL ,3,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,01:10 pm-02:00 pm ,24,21,3,Yang Mi (P) ,08/24-12/08 ,SMWALT 305 ,ARP Analytical Reasoning
